tnew ca_PZAP ca_PSYK
82.53661 0.29955 0.14210
82.63265 0.29976 0.14211
82.72869 0.29997 0.14213
82.82473 0.30017 0.14214
82.92077 0.30038 0.14215
83.01681 0.30058 0.14216
83.11285 0.30079 0.14217
83.20888 0.30100 0.14218
83.30492 0.30121 0.14219
83.40096 0.30143 0.14220
83.49700 0.30164 0.14221
83.59304 0.30185 0.14222
83.68908 0.30206 0.14223
83.78511 0.30228 0.14225
83.88115 0.30249 0.14226
83.97719 0.30271 0.14227
84.07323 0.30292 0.14228
84.16927 0.30313 0.14229
84.26531 0.30334 0.14230
84.36134 0.30355 0.14231
84.45738 0.30376 0.14232
84.55342 0.30397 0.14233
84.64946 0.30417 0.14234
84.74550 0.30438 0.14235
84.84154 0.30458 0.14236
84.93758 0.30479 0.14237
85.03361 0.30499 0.14239
85.12965 0.30520 0.14240
85.22569 0.30540 0.14241
85.32173 0.30561 0.14242
85.41777 0.30582 0.14243
85.51381 0.30602 0.14244
85.60984 0.30623 0.14245
85.70588 0.30643 0.14246
85.80192 0.30663 0.14247
85.89796 0.30684 0.14248
85.99400 0.30704 0.14249
86.09004 0.30725 0.14250
86.18607 0.30745 0.14251
86.28211 0.30766 0.14252
86.37815 0.30787 0.14253
86.47419 0.30807 0.14254
86.57023 0.30828 0.14255
86.66627 0.30849 0.14256
86.76230 0.30870 0.14257
86.85834 0.30891 0.14258
86.95438 0.30912 0.14259
87.05042 0.30932 0.14260
87.14646 0.30953 0.14261
87.24250 0.30973 0.14263
87.33854 0.30994 0.14264
87.43457 0.31014 0.14265
87.53061 0.31035 0.14266
87.62665 0.31056 0.14267
87.72269 0.31077 0.14268
87.81873 0.31099 0.14269
87.91477 0.31120 0.14270
88.01080 0.31141 0.14271
88.10684 0.31162 0.14272
88.20288 0.31184 0.14273
88.29892 0.31205 0.14274
88.39496 0.31226 0.14275
88.49100 0.31247 0.14276
88.58703 0.31268 0.14277
88.68307 0.31290 0.14278
88.77911 0.31311 0.14279
88.87515 0.31333 0.14280
88.97119 0.31355 0.14281
89.06723 0.31377 0.14282
89.16327 0.31399 0.14283
89.25930 0.31422 0.14284
89.35534 0.31444 0.14285
89.45138 0.31466 0.14286
89.54742 0.31488 0.14287
89.64346 0.31510 0.14288
89.73950 0.31531 0.14289
89.83553 0.31553 0.14290
89.93157 0.31574 0.14291
